Designator,Mid X,Mid Y,Layer,Rotation
C1,123.415623mm,-56.543377mm,Bottom,225
C2,126.746000mm,-47.117000mm,Bottom,225
C3,137.392500mm,-52.959000mm,Bottom,180
C4,133.836500mm,-59.309000mm,Bottom,0
C5,137.181500mm,-56.007000mm,Bottom,0
C6,146.505000mm,-48.794500mm,Bottom,270
C7,162.560000mm,-56.239500mm,Bottom,90
C8,143.663500mm,-51.689000mm,Bottom,180
C9,108.436500mm,-59.055000mm,Bottom,180
C10,124.714000mm,-60.071000mm,Bottom,225
C11,122.174000mm,-53.844500mm,Bottom,270
D1,84.436000mm,-70.702000mm,Bottom,90
D2,103.486000mm,-70.702000mm,Bottom,90
D3,122.536000mm,-70.702000mm,Bottom,90
D4,141.586000mm,-70.702000mm,Bottom,90
D5,160.636000mm,-70.702000mm,Bottom,90
D6,179.686000mm,-70.702000mm,Bottom,90
D7,198.736000mm,-70.702000mm,Bottom,90
D8,89.198500mm,-89.752000mm,Bottom,90
D9,113.011000mm,-89.752000mm,Bottom,90
D10,132.061000mm,-89.752000mm,Bottom,90
D11,151.111000mm,-89.752000mm,Bottom,90
D12,170.161000mm,-89.752000mm,Bottom,90
D13,189.211000mm,-89.752000mm,Bottom,90
D14,208.261000mm,-89.752000mm,Bottom,90
D15,91.579750mm,-108.802000mm,Bottom,90
D16,117.773500mm,-108.802000mm,Bottom,90
D17,136.823500mm,-108.802000mm,Bottom,90
D18,155.873500mm,-108.802000mm,Bottom,90
D19,174.923500mm,-108.802000mm,Bottom,90
D20,193.973500mm,-108.802000mm,Bottom,90
D21,213.023500mm,-108.802000mm,Bottom,90
D22,86.817250mm,-127.852000mm,Bottom,90
D23,108.248500mm,-127.852000mm,Bottom,90
D24,127.298500mm,-127.852000mm,Bottom,90
D25,146.348500mm,-127.852000mm,Bottom,90
D26,165.398500mm,-127.852000mm,Bottom,90
D27,184.448500mm,-127.852000mm,Bottom,90
D28,203.498500mm,-127.852000mm,Bottom,90
D29,86.817250mm,-146.902000mm,Bottom,90
D30,110.629750mm,-146.902000mm,Bottom,90
D31,134.442250mm,-146.902000mm,Bottom,90
D32,155.873500mm,-146.902000mm,Bottom,90
D33,186.829750mm,-146.902000mm,Bottom,90
J1,154.319001mm,-48.033999mm,Bottom,0
PB1,178.176000mm,-53.873000mm,Bottom,270
PB2,168.402000mm,-53.975000mm,Bottom,90
R1,144.272000mm,-57.277000mm,Bottom,0
R2,174.244000mm,-56.364500mm,Bottom,90
R3,164.338000mm,-56.618500mm,Bottom,270
R4,151.638000mm,-55.141500mm,Bottom,90
R5,158.242000mm,-55.141500mm,Bottom,90
R6,154.686000mm,-56.618500mm,Bottom,90
R7,153.162000mm,-56.618500mm,Bottom,90
R8,154.074500mm,-54.229000mm,Bottom,180
R9,96.494600mm,-48.659900mm,Bottom,90
R10,101.022200mm,-48.558300mm,Bottom,90
R11,116.594300mm,-50.135000mm,Bottom,0
R12,124.714000mm,-57.785000mm,Bottom,225
U1,143.764000mm,-48.895000mm,Bottom,90
U2,129.794000mm,-52.959000mm,Bottom,45
Y1,118.726000mm,-56.739000mm,Bottom,90
