Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.415623,-56.543377,225.000000,bottom
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.746000,-47.117000,225.000000,bottom
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.392500,-52.959000,180.000000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.836500,-59.309000,0.000000,bottom
"C5","4.7uF - 10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.181500,-56.007000,0.000000,bottom
"C6","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.505000,-48.794500,270.000000,bottom
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.560000,-56.239500,90.000000,bottom
"C8","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",143.663500,-51.689000,180.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.436500,-59.055000,180.000000,bottom
"C10","CL1","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.714000,-60.071000,225.000000,bottom
"C11","CL2","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",122.174000,-53.844500,270.000000,bottom
"D1","D","D_SOD-323F",84.436000,-70.702000,90.000000,bottom
"D2","D","D_SOD-323F",103.486000,-70.702000,90.000000,bottom
"D3","D","D_SOD-323F",122.536000,-70.702000,90.000000,bottom
"D4","D","D_SOD-323F",141.586000,-70.702000,90.000000,bottom
"D5","D","D_SOD-323F",160.636000,-70.702000,90.000000,bottom
"D6","D","D_SOD-323F",179.686000,-70.702000,90.000000,bottom
"D7","D","D_SOD-323F",198.736000,-70.702000,90.000000,bottom
"D8","D","D_SOD-323F",89.198500,-89.752000,90.000000,bottom
"D9","D","D_SOD-323F",113.011000,-89.752000,90.000000,bottom
