Designator,Mid X,Mid Y,Layer,Rotation
C1,-106.454377mm,-11.966377mm,Bottom,225
C2,-103.124000mm,-2.540000mm,Bottom,225
C3,-92.477500mm,-8.382000mm,Bottom,180
C4,-96.033500mm,-14.732000mm,Bottom,0
C5,-92.688500mm,-11.430000mm,Bottom,0
C6,-83.365000mm,-4.217500mm,Bottom,270
C7,-67.310000mm,-11.662500mm,Bottom,90
C8,-86.206500mm,-7.112000mm,Bottom,180
C9,-121.433500mm,-14.478000mm,Bottom,180
C10,-105.156000mm,-15.494000mm,Bottom,225
C11,-107.696000mm,-9.297500mm,Bottom,270
D1,-157.054500mm,-26.125000mm,Bottom,90
D2,-138.004500mm,-26.125000mm,Bottom,90
D3,-118.954500mm,-26.125000mm,Bottom,90
D4,-99.904500mm,-26.125000mm,Bottom,90
D5,-80.854500mm,-26.125000mm,Bottom,90
D6,-61.804500mm,-26.125000mm,Bottom,90
D7,-42.754500mm,-26.125000mm,Bottom,90
D8,-14.179500mm,-26.125000mm,Bottom,90
D9,-147.529500mm,-45.175000mm,Bottom,90
D10,-128.479500mm,-45.175000mm,Bottom,90
D11,-109.429500mm,-45.175000mm,Bottom,90
D12,-90.379500mm,-45.175000mm,Bottom,90
D13,-71.329500mm,-45.175000mm,Bottom,90
D14,-52.279500mm,-45.175000mm,Bottom,90
D15,-33.229500mm,-45.175000mm,Bottom,90
D16,-7.035750mm,-54.700000mm,Bottom,90
D17,-161.817000mm,-64.225000mm,Bottom,90
D18,-142.767000mm,-64.225000mm,Bottom,90
D19,-123.717000mm,-64.225000mm,Bottom,90
D20,-104.667000mm,-64.225000mm,Bottom,90
D21,-85.617000mm,-64.225000mm,Bottom,90
D22,-66.567000mm,-64.225000mm,Bottom,90
D23,-47.517000mm,-64.225000mm,Bottom,90
D24,-28.467000mm,-64.225000mm,Bottom,90
D25,-152.292000mm,-83.275000mm,Bottom,90
D26,-133.242000mm,-83.275000mm,Bottom,90
D27,-114.192000mm,-83.275000mm,Bottom,90
D28,-95.142000mm,-83.275000mm,Bottom,90
D29,-76.092000mm,-83.275000mm,Bottom,90
D30,-57.042000mm,-83.275000mm,Bottom,90
D31,-37.992000mm,-83.275000mm,Bottom,90
D32,-11.798250mm,-83.275000mm,Bottom,90
D33,-142.767000mm,-102.325000mm,Bottom,90
D34,-114.192000mm,-102.325000mm,Bottom,90
D35,-95.142000mm,-102.325000mm,Bottom,90
D36,-76.092000mm,-102.325000mm,Bottom,90
D37,-57.042000mm,-102.325000mm,Bottom,90
D38,-37.992000mm,-102.325000mm,Bottom,90
D39,-18.942000mm,-102.325000mm,Bottom,90
J1,-75.550999mm,-3.456999mm,Bottom,0
PB1,-51.694000mm,-9.296000mm,Bottom,270
PB2,-61.468000mm,-9.398000mm,Bottom,90
R1,-85.598000mm,-12.700000mm,Bottom,0
R2,-55.626000mm,-11.787500mm,Bottom,90
R3,-65.532000mm,-12.041500mm,Bottom,270
R4,-78.232000mm,-10.564500mm,Bottom,90
R5,-71.628000mm,-10.564500mm,Bottom,90
R6,-75.184000mm,-12.041500mm,Bottom,90
R7,-76.708000mm,-12.041500mm,Bottom,90
R8,-75.795500mm,-9.652000mm,Bottom,180
R9,-25.000000mm,-4.087500mm,Bottom,90
R10,-33.000000mm,-4.076000mm,Bottom,90
R11,-41.000000mm,-3.912500mm,Bottom,90
R12,-105.156000mm,-13.208000mm,Bottom,225
U1,-86.106000mm,-4.318000mm,Bottom,90
U2,-100.076000mm,-8.382000mm,Bottom,45
Y1,-111.181200mm,-11.112000mm,Bottom,90
