Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-106.454377,-11.966377,225.000000,bottom
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-103.124000,-2.540000,225.000000,bottom
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-92.477500,-8.382000,180.000000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-96.033500,-14.732000,0.000000,bottom
"C5","4.7uF - 10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-92.688500,-11.430000,0.000000,bottom
"C6","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-83.365000,-4.217500,270.000000,bottom
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-67.310000,-11.662500,90.000000,bottom
"C8","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-86.206500,-7.112000,180.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-121.433500,-14.478000,180.000000,bottom
"C10","CL1","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-105.156000,-15.494000,225.000000,bottom
"C11","CL2","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-107.696000,-9.297500,270.000000,bottom
"D1","D","D_SOD-323F",-157.054500,-26.125000,90.000000,bottom
"D2","D","D_SOD-323F",-138.004500,-26.125000,90.000000,bottom
"D3","D","D_SOD-323F",-118.954500,-26.125000,90.000000,bottom
"D4","D","D_SOD-323F",-99.904500,-26.125000,90.000000,bottom
"D5","D","D_SOD-323F",-80.854500,-26.125000,90.000000,bottom
"D6","D","D_SOD-323F",-61.804500,-26.125000,90.000000,bottom
"D7","D","D_SOD-323F",-42.754500,-26.125000,90.000000,bottom
"D8","D","D_SOD-323F",-14.179500,-26.125000,90.000000,bottom
"D9","D","D_SOD-323F",-147.529500,-45.175000,90.000000,bottom
"D10","D","D_SOD-323F",-128.479500,-45.175000,90.000000,bottom
"D11","D","D_SOD-323F",-109.429500,-45.175000,90.000000,bottom
"D12","D","D_SOD-323F",-90.379500,-45.175000,90.000000,bottom
"D13","D","D_SOD-323F",-71.329500,-45.175000,90.000000,bottom
"D14","D","D_SOD-323F",-52.279500,-45.175000,90.000000,bottom
"D15","D","D_SOD-323F",-33.229500,-45.175000,90.000000,bottom
"D16","D","D_SOD-323F",-7.035750,-54.700000,90.000000,bottom
"D17","D","D_SOD-323F",-161.817000,-64.225000,90.000000,bottom
"D18","D","D_SOD-323F",-142.767000,-64.225000,90.000000,bottom
"D19","D","D_SOD-323F",-123.717000,-64.225000,90.000000,bottom
"D20","D","D_SOD-323F",-104.667000,-64.225000,90.000000,bottom
"D21","D","D_SOD-323F",-85.617000,-64.225000,90.000000,bottom
"D22","D","D_SOD-323F",-66.567000,-64.225000,90.000000,bottom
"D23","D","D_SOD-323F",-47.517000,-64.225000,90.000000,bottom
"D24","D","D_SOD-323F",-28.467000,-64.225000,90.000000,bottom
"D25","D","D_SOD-323F",-152.292000,-83.275000,90.000000,bottom
"D26","D","D_SOD-323F",-133.242000,-83.275000,90.000000,bottom
"D27","D","D_SOD-323F",-114.192000,-83.275000,90.000000,bottom
"D28","D","D_SOD-323F",-95.142000,-83.275000,90.000000,bottom
"D29","D","D_SOD-323F",-76.092000,-83.275000,90.000000,bottom
"D30","D","D_SOD-323F",-57.042000,-83.275000,90.000000,bottom
"D31","D","D_SOD-323F",-37.992000,-83.275000,90.000000,bottom
"D32","D","D_SOD-323F",-11.798250,-83.275000,90.000000,bottom
"D33","D","D_SOD-323F",-142.767000,-102.325000,90.000000,bottom
"D34","D","D_SOD-323F",-114.192000,-102.325000,90.000000,bottom
"D35","D","D_SOD-323F",-95.142000,-102.325000,90.000000,bottom
"D36","D","D_SOD-323F",-76.092000,-102.325000,90.000000,bottom
"D37","D","D_SOD-323F",-57.042000,-102.325000,90.000000,bottom
"D38","D","D_SOD-323F",-37.992000,-102.325000,90.000000,bottom
"D39","D","D_SOD-323F",-18.942000,-102.325000,90.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-75.550999,-3.456999,0.000000,bottom
"PB1","SW_SPST","SW_SPST_TL3342",-51.694000,-9.296000,270.000000,bottom
"PB2","RESET","SW_SPST_TL3342",-61.468000,-9.398000,90.000000,bottom
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-85.598000,-12.700000,0.000000,bottom
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-55.626000,-11.787500,90.000000,bottom
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-65.532000,-12.041500,270.000000,bottom
"R4","5.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-78.232000,-10.564500,90.000000,bottom
"R5","5.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-71.628000,-10.564500,90.000000,bottom
"R6","1.5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-75.184000,-12.041500,90.000000,bottom
"R7","20R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-76.708000,-12.041500,90.000000,bottom
"R8","20R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-75.795500,-9.652000,180.000000,bottom
"R9","510R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-25.000000,-4.087500,90.000000,bottom
"R10","510R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-33.000000,-4.076000,90.000000,bottom
"R11","510R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-41.000000,-3.912500,90.000000,bottom
"R12","RExt","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-105.156000,-13.208000,225.000000,bottom
"U1","LN1154","SOT-23-5",-86.106000,-4.318000,90.000000,bottom
"U2","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",-100.076000,-8.382000,45.000000,bottom
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",-111.181200,-11.112000,90.000000,bottom
